event_id	year	month	day	level	event
53	1533-1584				Княжение (царствование) Ивана IV Васильевича Грозного.
54	1533-1538				Регентство Елены Глинской
55	1547				Принятие Иваном Грозным царского титула
56	1549				Первый Земский собор
57	1550				Принятие Судебника
58	1552				Взятие русскими войсками Казани
59	1556				Присоединение к России Астраханского ханства
60	1556				отмена кормлений
61	1558-1583				Ливонская война
62	1564				Издание первой российской печатной книги
63	1565-1572				Опричнина
64	1572				битва при Молоди
65	1581-1585				походы Ермака в Сибирь
66	1584-1598				правление Федора
67	1589				учреждение в России патриаршества
68	15598-1605				царствование Бориса Годунова
69	1604-1618				Смута в России
70	1605-1606				правление Лжедмитрия I.
71	1606-1610				Царствование Василия Шуйского
72	1606-1607				Восстание Ивана Болотникова
73	1607-1610				движение Лжедмитрия II.
74	1609-1611				оборона Смоленска
75	1611-1612				I и II Ополчения. Освобождение Москвы.
76	1613-1645				Царствование Михаила Федоровича
77	1617				Столбовский мир со Швецией
78	1618				Деулинское перемирие с Речью Посполитой
79	1632-1634				Смоленская война
80	1645-1676				царствование Алексея Михайловича
81	1648				Соляной бунт в Москве
82	1648				Поход Семена Дежнева
83	1649				принятие Соборного Уложения. Оформление крепостного права в центральных регионах страны
84	1649-1653				походы Ерофея Хабарова
85	1653				реформы патриарха Никона, начало церковного раскола
86	1654				Переяславская Рада. Переход под власть России Левобережной Украины
87	1654-1667				война с Речью Посполитой.
88	1656-1658				война со Швецией.
89	1662				Медный бунт
90	1666-1667				церковный собор
91	1667				Андрусовское перемирие
92	1667-1671				восстание перед правительством Степана Разина
93	1670-1672				Восстание Степана Разина
94	1676-1981				русско-турецкая война
95	1676-1682				царствование Федора Алексеевича.
96	1682-1725				царствование Петра I (до 1696 г. совместно с Иваном V)
97	1682-1689				Правление царевны Софьи
98	1682, 1689, 1698				Восстания стрельцов
99	1686				Вечный мир с Речью Посполитой
100	1687				Основание Славяно-греко-латинской академии в Москве
101	1687,1689				Крымские походы
102	1689				Нерчинский договор с Китаем
103	1695, 1696				Азовские походы
104	1697-1698				Великое посольство
105	1700-1721				Северная война
106	1700				Поражение под Нарвой
107	1703	     мая	16		Основание С.-Петербурга
108	1705-1706				Восстание в Астрахани
109	1707-1708				Восстание Кондратия Булавина
110	1708-1710				Учреждение губерний
111	1708	сентябрь			 Битва при д.Лесной
112	1709	июня	27		Полтавская битва
113	1711				 учреждение Сената; Прутский поход
114	1714				указ о единонаследии
115	1714	июля	27		Гангутское сражение
116	1718-1721				учреждение коллегий
117	1718-1724				проведение подушной переписи и первой ревизии
118	1720				 сражение у о. Гренгам
119	1721				Ништадтский мир
120	1721				провозглашение России империей
121	1722				 введение Табели о рангах
122	1722-1723				Каспийский (Персидский) поход
123	1725				учреждение Академии наук в Петербурге
124	1725-1727				 Правление Екатерины I
125	1727-1730				правление Петра II
126	1730-1740				правление Анны Иоанновны
127	1741-1761				правление Елизаветы Петровны
128	1756-1763				 Семилетняя война
129	1761-1762				Правление Петра III
130	1762				Манифест о вольности дворянской
131	1762-1796				правление Екатерины II
132	1769-1774				русско-турецкая война
133	1770	июня	26		Чесменское сражение
134	1770	июля	21		сражение при Кагуле
135	1773-1775				Восстание Емельяна Пугачёва
136	1774				Кючук-Кайнарджийский мир с Османской империей
137	1775				Начало губернской реформы
138	1783				Присоединение Крыма к России
139	1785				Жалованные грамоты дворянству и городам
140	1787-1791				 Русско-турецкая война
141	1796-1801				 правление Павла I
142	1799				Итальянский и Швейцарский походы русской армии
143	1801				присоединение Грузии
144	1801-1825				 Правление Александра I
145	1802				Министерская реформа
146	1803				указ о вольных хлебопашцах
147	1805	ноября	20		битва при Аустерлице
148	1806-1812				русско-турецкая война
149	1807	июня	25		Тильзитский мир
150	1810	января	1		учреждение Государственного Совета
151	1811				 учреждение Царскосельского лицея
152	1812				Бухарестский мир с Османской империей
153	1812				Отечественная война 1812 г.;
